iter	MultiClass
0	1.096766527
1	1.094882145
2	1.093170576
3	1.091514997
4	1.089612361
5	1.088211322
6	1.086245348
7	1.08408334
8	1.082258204
9	1.080548623
10	1.07986626
11	1.078108086
12	1.076382224
13	1.075556373
14	1.073677083
15	1.071895738
16	1.070015428
17	1.068646699
18	1.067756745
19	1.066056779
20	1.064564259
21	1.06295482
22	1.06226921
23	1.06081346
24	1.059345625
25	1.05797693
26	1.05653058
27	1.054869883
28	1.054276705
29	1.052611685
30	1.050996055
31	1.050038297
32	1.048447247
33	1.04693838
34	1.045449682
35	1.043821679
36	1.042164493
37	1.040652085
38	1.039627682
39	1.038417983
40	1.036743262
41	1.035293347
42	1.033770745
43	1.032300623
44	1.030982056
45	1.029546427
46	1.027967466
47	1.026704529
48	1.025438186
49	1.024158026
50	1.022665465
51	1.022121886
52	1.020850942
53	1.019302302
54	1.017803625
55	1.016425627
56	1.015279682
57	1.01392133
58	1.012526901
59	1.011047937
60	1.00987031
61	1.00844075
62	1.007424188
63	1.006409348
64	1.005219125
65	1.004019939
66	1.002635251
67	1.001336836
68	0.9999473867
69	0.998831146
70	0.9983992358
71	0.9971567044
72	0.9957768779
73	0.9953546134
74	0.9941107117
75	0.9930578866
76	0.9918597977
77	0.9909340127
78	0.9897380757
79	0.9887472038
80	0.9876915212
81	0.9864035109
82	0.9853968913
83	0.9842151782
84	0.9834711873
85	0.9825134346
86	0.9812005215
87	0.9807712955
88	0.9797577811
89	0.9786787507
90	0.9780393104
91	0.9768360414
92	0.9757191667
93	0.9750275837
94	0.9737619742
95	0.972618587
96	0.9714707517
97	0.9705402738
98	0.9693543827
99	0.9682917696
100	0.9669994294
101	0.9659330636
102	0.9648354783
103	0.9637366048
104	0.962684213
105	0.9618696163
106	0.9615382688
107	0.9606416242
108	0.9595255237
109	0.9585985043
110	0.958117058
111	0.9570389638
112	0.9560409268
113	0.9548995938
114	0.953906918
115	0.9535048326
116	0.9526558098
117	0.9515377021
118	0.9507127191
119	0.9496891045
120	0.9489437047
121	0.9482162776
122	0.947396316
123	0.9465577476
124	0.9454966426
125	0.944467961
126	0.9434889836
127	0.9425829395
128	0.9415664895
129	0.9408251383
130	0.939783486
131	0.939081459
132	0.938079154
133	0.9377442268
134	0.9366721105
135	0.9360058148
136	0.9349894678
137	0.9339242512
138	0.9329270253
139	0.9320832554
140	0.9311517814
141	0.9305631008
142	0.9295764553
143	0.928463328
144	0.9275923354
145	0.926731833
146	0.9259891542
147	0.9252097327
148	0.9245286378
149	0.9235495207
150	0.9227639453
151	0.9217866137
152	0.920916486
153	0.9199609097
154	0.9191127423
155	0.9185460687
156	0.9178760704
157	0.9170275309
158	0.9162643547
159	0.9154508085
160	0.9148553204
161	0.9139589003
162	0.9135439282
163	0.91281218
164	0.9122944826
165	0.911362677
166	0.9108236041
167	0.9099139266
168	0.9092309366
169	0.9082468777
170	0.9074328842
171	0.9066816997
172	0.9060227101
173	0.905305696
174	0.9045367059
175	0.9036036371
176	0.9029272249
177	0.902231042
178	0.9014813905
179	0.9007032842
180	0.8999728441
181	0.8991993755
182	0.8983566172
183	0.8976172972
184	0.8967970153
185	0.8960894371
186	0.8959025236
187	0.8951984499
188	0.894422605
189	0.8942396165
190	0.8937891531
191	0.8930721865
192	0.8925723248
193	0.8919519
194	0.891275013
195	0.8905050619
196	0.8897082405
197	0.889085262
198	0.8883843016
199	0.8875884517
200	0.8869685585
201	0.8863048333
202	0.8855790551
203	0.8850847517
204	0.8844712484
205	0.8838359067
206	0.8832341557
207	0.8823747218
208	0.8817073589
209	0.881112788
210	0.8804395571
211	0.8798087723
212	0.8796530739
213	0.879002754
214	0.8783692982
215	0.8778336792
216	0.8772059313
217	0.8765932413
218	0.8759218674
219	0.8752961184
220	0.8747090307
221	0.8740910705
222	0.8738414551
223	0.873391317
224	0.8726791114
225	0.8720049089
226	0.8714149711
227	0.8709103435
228	0.8704087802
229	0.8699461758
230	0.8694479626
231	0.8688575334
232	0.8683499588
233	0.8676414097
234	0.8669962183
235	0.8665356997
236	0.8658775225
237	0.8652753218
238	0.8647634784
239	0.864115905
240	0.8635194854
241	0.8629518903
242	0.8623218084
243	0.8616375992
244	0.8609874541
245	0.8604622888
246	0.8599096058
247	0.8593157392
248	0.8587881856
249	0.8581587183
250	0.8575872478
251	0.8570333932
252	0.8565070763
253	0.8561404478
254	0.8556829206
255	0.855099273
256	0.8545810971
257	0.8542664233
258	0.8537366693
259	0.8531665375
260	0.8530548439
261	0.8524642296
262	0.8517887949
263	0.851188573
264	0.8506155607
265	0.8501224036
266	0.8495738078
267	0.8494673651
268	0.8489531937
269	0.8484714532
270	0.8479010739
271	0.8474083321
272	0.8468223297
273	0.8462084926
274	0.8457104961
275	0.8451974504
276	0.8447524275
277	0.8446531367
278	0.8441019916
279	0.8438601663
280	0.8434771775
281	0.8433806567
282	0.8428610617
283	0.8426071031
284	0.8423575336
285	0.8419307207
286	0.8414968889
287	0.8412674473
288	0.8409195853
289	0.8405027211
290	0.8400544096
291	0.839544698
292	0.8391822038
293	0.8387695085
294	0.8382849856
295	0.8378773124
296	0.8373348208
297	0.8368579874
298	0.836363414
299	0.8358332414
300	0.8353517598
301	0.8350255884
302	0.8345684374
303	0.834076252
304	0.8335725711
305	0.833091934
306	0.8326595261
307	0.8321634415
308	0.8316671336
309	0.8311969626
310	0.8309221247
311	0.8305370487
312	0.8301495811
313	0.8298105354
314	0.8294126687
315	0.8288680536
316	0.8283911392
317	0.8279067677
318	0.827452837
319	0.8271358157
320	0.8267334194
321	0.8263014015
322	0.8258541221
323	0.8255964174
324	0.8251206968
325	0.824648975
326	0.8243001668
327	0.8238662969
328	0.8234132994
329	0.8232018338
330	0.8227261577
331	0.8223022201
332	0.8218379186
333	0.8214918844
334	0.8210474477
335	0.8209690694
336	0.8205728521
337	0.8205073473
338	0.8200320704
339	0.8197260469
340	0.8193333205
341	0.8189073158
342	0.8185229913
343	0.8181683229
344	0.8179218365
345	0.8176016661
346	0.8172953524
347	0.8171272533
348	0.8167569987
349	0.8166967339
350	0.8163449664
351	0.8159380434
352	0.8155564205
353	0.815159088
354	0.8147876978
355	0.8143774839
356	0.8139959792
357	0.8136115121
358	0.8132337566
359	0.812848713
360	0.8125679191
361	0.8122064796
362	0.8118196075
363	0.8114788638
364	0.8111464283
365	0.8108569046
366	0.8105514404
367	0.8102099827
368	0.8098789985
369	0.8094602732
370	0.8092519142
371	0.8089713035
372	0.8086473173
373	0.8082654279
374	0.8079382935
375	0.8075827757
376	0.8073851987
377	0.8071228959
378	0.8068235693
379	0.8064527789
380	0.8060333102
381	0.8057670055
382	0.8054085289
383	0.8050743593
384	0.8048786604
385	0.8045001705
386	0.8042310418
387	0.8041846513
388	0.8037492454
389	0.8034470446
390	0.8030809827
391	0.8027620625
392	0.8024529843
393	0.8020859255
394	0.801702886
395	0.8016590023
396	0.8014384985
397	0.8010769493
398	0.8007490329
399	0.8004521829
400	0.8001606769
401	0.7998687112
402	0.7995337217
403	0.7991517816
404	0.7988457042
405	0.7985329139
406	0.7982052935
407	0.7979675639
408	0.7975777927
409	0.7972095469
410	0.79688185
411	0.7965274526
412	0.7962051271
413	0.795967133
414	0.7957029464
415	0.7954106709
416	0.795103162
417	0.7948227905
418	0.7944934291
419	0.7943516198
420	0.7942210199
421	0.7940464561
422	0.7937668953
423	0.7935140183
424	0.7932761016
425	0.7930687297
426	0.7928110495
427	0.7925343913
428	0.7922109533
429	0.7919395618
430	0.7916327299
431	0.7913834904
432	0.7911695539
433	0.7909126495
434	0.7906737298
435	0.7903772842
436	0.7901121303
437	0.7899914048
438	0.78995879
439	0.7898177655
440	0.7895205927
441	0.7892793601
442	0.7891413896
443	0.7888271296
444	0.7884925697
445	0.7881786465
446	0.7878964303
447	0.7876345816
448	0.787366574
449	0.7871445002
450	0.7868651337
451	0.7866201043
452	0.7864729222
453	0.7864435335
454	0.7863010763
455	0.7862529261
456	0.7860905668
457	0.7857907586
458	0.7855343973
459	0.7852725219
460	0.7850715818
461	0.7847897782
462	0.7845017093
463	0.7842559445
464	0.7839703443
465	0.783645344
466	0.7835221369
467	0.7834954687
468	0.7832770862
469	0.7830313268
470	0.7830052091
471	0.7826557911
472	0.7824037179
473	0.782153929
474	0.7818343293
475	0.781543628
476	0.7813189433
477	0.7810940688
478	0.7808940286
479	0.780548444
480	0.7803357388
481	0.7800407082
482	0.7798140374
483	0.7796899293
