iter	Passed	Remaining
0	14	43241
1	30	45069
2	44	44200
3	59	44139
4	73	43667
5	88	43566
6	103	43437
7	118	43780
8	134	43965
9	148	43865
10	151	40697
11	166	40906
12	182	41300
13	186	39131
14	200	39355
15	214	39398
16	229	39662
17	234	38219
18	249	38556
19	264	38887
20	272	38047
21	286	38241
22	290	36998
23	300	36706
24	307	36037
25	322	36375
26	338	36712
27	353	37000
28	356	36043
29	370	36163
30	386	36435
31	390	35694
32	405	35887
33	419	36028
34	428	35807
35	443	35947
36	458	36167
37	472	36312
38	477	35748
39	482	35199
40	498	35448
41	513	35673
42	528	35823
43	543	35986
44	558	36141
45	572	36237
46	587	36365
47	602	36490
48	617	36626
49	632	36759
50	647	36899
51	651	36385
52	657	36023
53	672	36129
54	686	36247
55	702	36379
56	716	36467
57	731	36547
58	745	36610
59	760	36701
60	774	36783
61	790	36927
62	797	36653
63	801	36228
64	810	36081
65	825	36173
66	840	36266
67	855	36337
68	864	36175
69	873	36036
70	876	35645
71	891	35718
72	907	35838
73	910	35464
74	925	35577
75	939	35606
76	953	35664
77	958	35360
78	972	35427
79	987	35498
80	1001	35544
81	1016	35638
82	1022	35394
83	1036	35440
84	1040	35150
85	1047	34963
86	1061	35021
87	1064	34720
88	1070	34499
89	1084	34562
90	1089	34304
91	1103	34374
92	1119	34472
93	1124	34243
94	1139	34325
95	1154	34402
96	1168	34451
97	1177	34365
98	1193	34462
99	1208	34518
100	1223	34605
101	1238	34677
102	1253	34736
103	1259	34545
104	1274	34617
105	1279	34411
106	1282	34156
107	1287	33959
108	1303	34050
109	1318	34116
110	1321	33895
111	1336	33947
112	1350	33991
113	1365	34054
114	1380	34121
115	1384	33908
116	1389	33726
117	1403	33774
118	1417	33814
119	1432	33869
120	1439	33740
121	1448	33660
122	1453	33484
123	1462	33422
124	1478	33497
125	1483	33339
126	1498	33382
127	1512	33434
128	1527	33488
129	1532	33331
130	1545	33339
131	1551	33196
132	1565	33241
133	1568	33053
134	1583	33096
135	1587	32929
136	1602	32989
137	1616	33028
138	1632	33089
139	1643	33078
140	1660	33155
141	1666	33037
142	1681	33081
143	1693	33084
144	1705	33084
145	1720	33127
146	1734	33163
147	1749	33206
148	1763	33236
149	1778	33283
150	1793	33327
151	1808	33379
152	1824	33440
153	1840	33498
154	1855	33549
155	1861	33423
156	1865	33266
157	1879	33296
158	1893	33318
159	1898	33195
160	1903	33054
161	1918	33093
162	1921	32943
163	1929	32853
164	1932	32707
165	1946	32733
166	1951	32609
167	1958	32519
168	1973	32548
169	1987	32588
170	2003	32636
171	2013	32599
172	2027	32626
173	2042	32668
174	2054	32668
175	2070	32709
176	2074	32579
177	2089	32617
178	2096	32535
179	2111	32576
180	2126	32611
181	2140	32641
182	2154	32661
183	2169	32692
184	2184	32725
185	2198	32756
186	2201	32613
187	2216	32650
188	2231	32684
189	2234	32545
190	2241	32460
191	2256	32494
192	2259	32363
193	2273	32379
194	2285	32366
195	2300	32401
196	2315	32447
197	2330	32475
198	2344	32490
199	2359	32520
200	2373	32549
201	2388	32582
202	2403	32612
203	2413	32575
204	2418	32469
205	2432	32487
206	2448	32522
207	2463	32553
208	2472	32504
209	2486	32526
210	2500	32547
211	2515	32565
212	2518	32442
213	2532	32461
214	2547	32489
215	2559	32475
216	2573	32496
217	2587	32509
218	2601	32530
219	2617	32560
220	2632	32593
221	2646	32610
222	2650	32494
223	2654	32388
224	2669	32410
225	2683	32431
226	2696	32423
227	2709	32436
228	2725	32463
229	2734	32417
230	2747	32426
231	2764	32467
232	2778	32481
233	2792	32500
234	2807	32519
235	2821	32536
236	2836	32558
237	2851	32576
238	2866	32597
239	2880	32613
240	2896	32645
241	2910	32654
242	2925	32671
243	2940	32693
244	2955	32712
245	2969	32721
246	2974	32638
247	2988	32646
248	3001	32642
249	3012	32621
250	3027	32639
251	3042	32655
252	3057	32676
253	3071	32684
254	3086	32700
255	3100	32714
256	3115	32734
257	3120	32642
258	3135	32664
259	3150	32683
260	3154	32582
261	3169	32599
262	3183	32606
263	3198	32629
264	3212	32638
265	3226	32644
266	3242	32666
267	3245	32563
268	3259	32570
269	3273	32580
270	3288	32591
271	3302	32595
272	3317	32611
273	3332	32634
274	3346	32638
275	3360	32646
276	3374	32653
277	3378	32558
278	3393	32570
279	3396	32474
280	3400	32387
281	3403	32289
282	3419	32306
283	3422	32214
284	3426	32127
285	3441	32141
286	3456	32160
287	3460	32068
288	3474	32075
289	3489	32093
290	3504	32103
291	3518	32112
292	3522	32027
293	3537	32038
294	3552	32055
295	3567	32068
296	3582	32087
297	3597	32101
298	3614	32130
299	3629	32141
300	3644	32156
301	3657	32154
302	3669	32140
303	3684	32152
304	3699	32170
305	3715	32185
306	3729	32188
307	3743	32199
308	3758	32208
309	3773	32219
310	3777	32139
311	3791	32142
312	3806	32150
313	3811	32085
314	3826	32096
315	3841	32106
316	3856	32117
317	3872	32136
318	3887	32144
319	3891	32065
320	3905	32071
321	3919	32076
322	3934	32081
323	3948	32084
324	3957	32052
325	3973	32064
326	3980	32012
327	3995	32024
328	4009	32028
329	4012	31945
330	4027	31951
331	4034	31898
332	4050	31914
333	4065	31927
334	4080	31938
335	4084	31857
336	4098	31863
337	4101	31780
338	4116	31790
339	4121	31721
340	4135	31727
341	4147	31711
342	4162	31723
343	4177	31732
344	4181	31659
345	4188	31608
346	4204	31627
347	4209	31555
348	4222	31552
349	4225	31475
350	4240	31484
351	4255	31491
352	4269	31494
353	4275	31438
354	4289	31438
355	4303	31445
356	4318	31450
357	4333	31459
358	4347	31464
359	4362	31471
360	4367	31408
361	4381	31410
362	4396	31416
363	4410	31418
364	4419	31386
365	4434	31390
366	4444	31369
367	4459	31375
368	4474	31384
369	4489	31389
370	4492	31316
371	4507	31323
372	4521	31321
373	4537	31338
374	4552	31343
375	4566	31345
376	4570	31280
377	4576	31224
378	4591	31230
379	4605	31235
380	4619	31230
381	4633	31236
382	4648	31244
383	4655	31196
384	4660	31131
385	4674	31133
386	4688	31135
387	4691	31063
388	4706	31068
389	4721	31077
390	4736	31086
391	4751	31090
392	4766	31094
393	4780	31099
394	4795	31106
395	4799	31036
396	4802	30969
397	4818	30981
398	4832	30982
399	4845	30975
400	4859	30973
401	4866	30928
402	4880	30931
403	4893	30926
404	4907	30925
405	4914	30879
406	4929	30883
407	4935	30832
408	4949	30833
409	4964	30841
410	4980	30850
411	4995	30859
412	5010	30864
413	5015	30806
414	5022	30761
415	5037	30768
416	5052	30773
417	5066	30777
418	5082	30784
419	5085	30721
420	5090	30662
421	5094	30600
422	5110	30612
423	5125	30617
424	5139	30622
425	5154	30625
426	5169	30631
427	5182	30625
428	5193	30606
429	5209	30615
430	5215	30567
431	5229	30563
432	5243	30563
433	5258	30568
434	5263	30518
435	5279	30525
436	5285	30477
437	5288	30414
438	5291	30350
439	5294	30287
440	5308	30288
441	5323	30289
442	5328	30237
443	5342	30238
444	5357	30244
445	5372	30248
446	5387	30250
447	5402	30254
448	5416	30256
449	5426	30232
450	5440	30231
451	5455	30232
452	5467	30224
453	5470	30162
454	5476	30114
455	5481	30062
456	5494	30056
457	5507	30052
458	5521	30051
459	5536	30051
460	5549	30047
461	5564	30051
462	5579	30057
463	5594	30060
464	5609	30063
465	5625	30071
466	5629	30016
467	5632	29956
468	5646	29953
469	5660	29952
470	5663	29894
471	5678	29894
472	5692	29895
473	5708	29901
474	5722	29902
475	5736	29900
476	5751	29904
477	5765	29901
478	5780	29905
479	5794	29900
480	5809	29905
481	5825	29910
482	5840	29915
483	5844	29863
484	5859	29864
485	5874	29870
486	5890	29874
487	5902	29861
488	5909	29824
489	5923	29822
490	5926	29767
491	5943	29777
492	5958	29778
493	5967	29755
494	5982	29755
495	5996	29753
496	5999	29697
497	6015	29701
498	6019	29651
499	6034	29652
500	6049	29656
501	6063	29655
502	6077	29650
503	6092	29651
504	6097	29608
505	6112	29607
506	6118	29564
507	6132	29562
508	6145	29556
509	6160	29557
510	6174	29555
511	6190	29559
512	6204	29557
513	6218	29555
514	6222	29507
515	6226	29453
516	6229	29402
517	6243	29399
518	6259	29403
519	6273	29400
520	6279	29362
521	6286	29324
522	6301	29324
523	6316	29326
524	6329	29320
525	6335	29280
526	6350	29282
527	6364	29280
528	6378	29276
529	6392	29272
530	6407	29273
531	6421	29273
532	6425	29221
533	6431	29181
534	6445	29180
535	6459	29177
536	6474	29176
537	6488	29174
538	6492	29126
539	6504	29115
540	6519	29114
541	6523	29067
542	6537	29065
543	6540	29013
544	6555	29012
545	6570	29012
546	6574	28966
547	6578	28917
548	6593	28918
549	6596	28870
550	6609	28861
551	6624	28863
552	6629	28820
553	6643	28815
554	6657	28812
555	6660	28763
556	6672	28751
557	6687	28752
558	6702	28751
559	6718	28757
560	6732	28753
561	6746	28750
562	6755	28726
563	6769	28723
564	6783	28718
565	6797	28715
566	6811	28712
567	6827	28715
568	6834	28683
569	6849	28682
570	6863	28680
571	6878	28682
572	6894	28685
573	6900	28646
574	6909	28624
575	6923	28620
576	6938	28619
577	6954	28622
578	6970	28627
579	6973	28578
580	6987	28577
581	7002	28577
582	7012	28556
583	7027	28556
584	7034	28524
585	7049	28522
586	7055	28484
587	7070	28487
588	7073	28439
589	7078	28396
590	7081	28348
591	7096	28351
592	7112	28354
593	7126	28350
594	7141	28348
595	7155	28344
596	7170	28343
597	7185	28343
598	7198	28336
599	7202	28292
600	7216	28287
601	7219	28242
602	7234	28243
603	7238	28198
604	7252	28194
605	7265	28187
606	7280	28184
607	7283	28138
608	7297	28136
609	7312	28136
610	7317	28095
611	7331	28093
612	7346	28089
613	7350	28049
614	7365	28049
615	7381	28051
616	7397	28057
617	7413	28058
618	7418	28019
619	7432	28016
620	7446	28012
621	7461	28009
622	7476	28010
623	7482	27975
624	7497	27975
625	7512	27973
626	7529	27978
627	7532	27935
628	7547	27933
629	7550	27888
630	7564	27884
631	7573	27860
632	7587	27857
633	7597	27836
634	7611	27833
635	7626	27831
636	7640	27828
637	7654	27821
638	7657	27779
639	7664	27748
640	7668	27707
641	7682	27702
642	7689	27671
643	7703	27669
644	7719	27669
645	7733	27665
646	7738	27630
647	7753	27628
648	7768	27626
649	7783	27625
650	7797	27620
651	7812	27618
652	7826	27614
653	7841	27613
654	7856	27612
655	7870	27607
656	7885	27605
657	7901	27606
658	7916	27604
659	7931	27602
660	7945	27597
661	7955	27578
662	7969	27576
663	7984	27571
664	7997	27564
665	8012	27562
666	8027	27559
667	8041	27554
668	8051	27535
669	8065	27530
670	8079	27525
671	8094	27522
672	8108	27518
673	8122	27512
674	8126	27475
675	8141	27470
676	8150	27450
677	8165	27448
678	8180	27445
679	8195	27443
680	8207	27431
681	8214	27401
682	8229	27400
683	8244	27398
684	8258	27391
685	8272	27387
686	8276	27347
687	8291	27343
688	8307	27346
689	8322	27342
690	8337	27340
691	8352	27337
692	8366	27333
693	8382	27333
694	8387	27298
695	8400	27289
696	8415	27285
697	8431	27287
698	8445	27283
699	8449	27243
700	8455	27212
701	8469	27206
702	8483	27200
703	8498	27196
704	8512	27191
705	8528	27191
706	8543	27188
707	8558	27185
708	8574	27186
709	8578	27148
710	8592	27143
711	8598	27111
712	8612	27105
713	8623	27091
714	8626	27051
715	8629	27010
716	8643	27003
717	8658	27000
718	8673	26997
719	8688	26994
720	8702	26988
721	8717	26985
722	8731	26980
723	8735	26943
724	8750	26939
725	8763	26930
726	8778	26928
727	8793	26923
728	8808	26921
729	8811	26881
730	8825	26876
731	8841	26873
732	8844	26835
733	8860	26834
734	8875	26832
735	8890	26827
736	8905	26824
737	8919	26817
738	8933	26814
739	8949	26812
740	8963	26807
741	8978	26802
742	8992	26795
743	9008	26796
744	9023	26792
745	9039	26790
746	9049	26771
747	9064	26769
748	9079	26766
749	9094	26763
750	9099	26728
751	9113	26722
752	9117	26685
753	9131	26681
754	9147	26679
755	9153	26648
756	9156	26610
757	9171	26607
758	9185	26599
759	9199	26593
760	9213	26587
761	9223	26568
762	9237	26562
763	9253	26560
764	9256	26523
765	9262	26492
766	9277	26488
767	9293	26489
768	9308	26483
769	9323	26479
770	9337	26473
771	9350	26465
772	9366	26462
773	9380	26456
774	9394	26450
775	9400	26420
776	9416	26418
777	9430	26412
778	9446	26411
779	9460	26404
780	9473	26395
781	9483	26377
782	9488	26346
783	9503	26340
784	9518	26336
785	9532	26329
786	9546	26321
787	9549	26286
788	9564	26280
789	9568	26246
790	9583	26242
791	9597	26235
